,0,1,2,3,4,5,6,7,8,9,10,11,12
0,#,Name,Price,24H,CHANGE,24H,VOLUME,Market,Cap,7D,CHART,,
1,1,Bitcoin,BTC,"$41,194.84","$41,194.84",+4.84%,+4.84%,$30.97,B,$775.77,B,Trade,
2,2,Ethereum,ETH,"$2,832.75","$2,832.75",+1.47%,+1.47%,$20.11,B,$335.78,B,Trade,
3,3,Tether,USDT,$1.01,$1.01,-0.02%,-0.02%,$67.87,B,$79.61,B,Trade,
4,4,BNB,BNB,$381.80,$381.80,+2.80%,+2.80%,$1.79,B,$62.97,B,Trade,
5,5,USD,Coin,USDC,$1.00,$1.00,+0.01%,+0.01%,$5.53,B,$53.47,B,Trade
6,6,XRP,XRP,$0.7601,$0.7601,+1.12%,+1.12%,$3.02,B,$36.08,B,Trade,
7,7,Terra,LUNA,$84.96,$84.96,+9.84%,+9.84%,$4.27,B,$31.45,B,Trade,
8,8,Cardano,ADA,$0.9384,$0.9384,+4.51%,+4.51%,$1.75,B,$31.17,B,Trade,
9,9,Solana,SOL,$95.96,$95.96,+7.94%,+7.94%,$3.06,B,$30.37,B,Trade,
10,10,Avalanche,AVAX,$80.22,$80.22,+2.05%,+2.05%,$1.81,B,$19.49,B,Trade,
11,11,Binance,USD,BUSD,$0.9997,$0.9997,+0.02%,+0.02%,$5.77,B,$18.16,B,Trade
12,12,Polkadot,DOT,$17.82,$17.82,-2.81%,-2.81%,$1.57,B,$17.44,B,Trade,
13,13,Dogecoin,DOGE,$0.1294,$0.1294,+0.71%,+0.71%,$720.34,M,$16.91,B,Trade,
14,14,Shiba,Inu,SHIB,$0.00002538,$0.00002538,+1.85%,+1.85%,$1.47,B,$13.60,B,Trade
15,15,TerraUSD,UST,$1.00,$1.00,+0.00%,+0.00%,$555.29,M,$12.93,B,,
16,16,Polygon,MATIC,$1.57,$1.57,+3.35%,+3.35%,$1.21,B,$11.62,B,Trade,
17,17,Wrapped,Bitcoin,WBTC,"$41,320.32","$41,320.32",+4.58%,+4.58%,$268.93,M,$10.73,B,Trade
18,18,Cronos,CRO,$0.4221,$0.4221,+1.34%,+1.34%,$122.57,M,$10.60,B,Trade,
19,19,Dai,DAI,$1.01,$1.01,+0.02%,+0.02%,$337.60,M,$9.69,B,Trade,
20,20,Cosmos,ATOM,$29.39,$29.39,+1.61%,+1.61%,$1.21,B,$8.34,B,Trade,
21,21,Litecoin,LTC,$109.34,$109.34,+0.74%,+0.74%,$874.89,M,$7.55,B,Trade,
22,22,Uniswap,UNI,$10.21,$10.21,+0.05%,+0.05%,$500.45,M,$6.91,B,Trade,
23,23,Chainlink,LINK,$14.75,$14.75,+2.10%,+2.10%,$842.37,M,$6.82,B,Trade,
24,24,FTX,Token,FTT,$44.85,$44.85,+3.81%,+3.81%,$148.99,M,$6.18,B,
25,25,Bitcoin,Cash,BCH,$329.13,$329.13,+3.01%,+3.01%,$4.25,B,$6.18,B,Trade
26,26,TRON,TRX,$0.05998,$0.05998,-0.40%,-0.40%,$1.18,B,$6.10,B,,
27,27,NEAR,Protocol,NEAR,$9.14,$9.14,+2.39%,+2.39%,$379.78,M,$5.82,B,Trade
28,28,UNUS,SED,LEO,LEO,$5.93,$5.93,-0.45%,-0.45%,$6.83,M,$5.65,B
29,29,Algorand,ALGO,$0.8467,$0.8467,+1.27%,+1.27%,$252.61,M,$5.55,B,Trade,
30,30,Decentraland,MANA,$2.73,$2.73,+0.90%,+0.90%,$849.32,M,$4.92,B,Trade,
31,31,Stellar,XLM,$0.191,$0.191,+0.34%,+0.34%,$325.09,M,$4.72,B,Trade,
32,32,Fantom,FTM,$1.73,$1.73,+2.74%,+2.74%,$1.17,B,$4.36,B,Trade,
33,33,Hedera,HBAR,$0.225,$0.225,+1.23%,+1.23%,$88.91,M,$4.34,B,Trade,
34,34,Bitcoin,BEP2,BTCB,"$40,865.20","$40,865.20",+4.54%,+4.54%,$48.58,M,$4.30,B,
35,35,Internet,Computer,ICP,$18.93,$18.93,+3.14%,+3.14%,$226.95,M,$3.88,B,Trade
36,36,Ethereum,Classic,ETC,$28.94,$28.94,+0.95%,+0.95%,$440.84,M,$3.81,B,Trade
37,37,Filecoin,FIL,$21.21,$21.21,+0.72%,+0.72%,$686.94,M,$3.56,B,Trade,
38,38,The,Sandbox,SAND,$3.08,$3.08,+1.12%,+1.12%,$982.87,M,$3.33,B,Trade
39,39,Klaytn,KLAY,$1.22,$1.22,+1.70%,+1.70%,$89.41,M,$3.20,B,Trade,
40,40,VeChain,VET,$0.04927,$0.04927,+2.00%,+2.00%,$334.05,M,$3.12,B,Trade,
41,41,Axie,Infinity,AXS,$50.77,$50.77,+1.27%,+1.27%,$360.77,M,$3.05,B,Trade
42,42,Elrond,EGLD,$142.48,$142.48,+1.04%,+1.04%,$242.72,M,$3.05,B,Trade,
43,43,Monero,XMR,$163.20,$163.20,+2.93%,+2.93%,$142.56,M,$2.95,B,,
44,44,Tezos,XTZ,$3.36,$3.36,+0.54%,+0.54%,$171.54,M,$2.92,B,Trade,
45,45,Theta,Network,THETA,$2.91,$2.91,-0.24%,-0.24%,$294.72,M,$2.91,B,Trade
46,46,Helium,HNT,$24.28,$24.28,+0.09%,+0.09%,$32.43,M,$2.69,B,Trade,
47,47,EOS,EOS,$2.19,$2.19,-0.32%,-0.32%,$475.76,M,$2.13,B,Trade,
48,48,IOTA,MIOTA,$0.7626,$0.7626,+4.49%,+4.49%,$50.71,M,$2.12,B,,
49,49,Flow,FLOW,$6.14,$6.14,+2.73%,+2.73%,$213.15,M,$2.00,B,Trade,
50,50,Aave,AAVE,$141.31,$141.31,-1.75%,-1.75%,$280.84,M,$1.90,B,Trade,
